energy,H2,N2,CO,H2O,NH3,CH4
HF/STO-3G,  -1.11750588516 ,  -107.500654311 ,  -111.225449517 ,  -74.9659011708 ,  -55.4554197734 ,  -39.7268636774 ,
B3LYP/STO-3G,  -1.16553551084 ,  -108.056035254 ,  -111.772694578 ,  -75.3227751662 ,  -55.7914795173 ,  -40.0389195648 ,
HF/4-31G,  -1.12682780762 ,  -108.754219482 ,  -112.552355638 ,  -75.9086358437 ,  -56.1066917512 ,  -40.1397667596 ,
B3LYP/4-31G,  -1.17548240309 ,  -109.355579412 ,  -113.142500903 ,  -76.3079369164 ,  -56.4719937165 ,  -40.4694776900 ,
HF/6-31G,  -1.12682780762 ,  -108.868004949 ,  -112.667221925 ,  -75.9853591690 ,  -56.1655212505 ,  -40.1805541716 ,
B3LYP/6-31G,  -1.17548240309 ,  -109.471040370 ,  -113.259177086 ,  -76.3861166701 ,  -56.5318871935 ,  -40.5106424996 ,
HF/6-31G(d),  -1.12682780762 ,  -108.943949468 ,  -112.737876953 ,  -76.0107464887 ,  -56.1843563183 ,  -40.1951719196 ,
B3LYP/6-31G(d),  -1.17548240309 ,  -109.524128676 ,  -113.309453139 ,  -76.4089539626 ,  -56.5479477974 ,  -40.5183831835 ,
HF/6-31G(d_p),  -1.13133357342 ,  -108.943949468 ,  -112.737876953 ,  -76.0236149301 ,  -56.1955445981 ,  -40.2017047902 ,
B3LYP/6-31G(d_p),  -1.17853935163 ,  -109.524128676 ,  -113.309453139 ,  -76.4197373997 ,  -56.5577687304 ,  -40.5240140363 ,
HF/6-311++G(d_p),  -1.13250742068 ,  -108.974088213 ,  -112.771008440 ,  -76.0534234741 ,  -56.2147543222 ,  -40.2091498131 ,
B3LYP/6-311++G(d_p),  -1.17957156111 ,  -109.559693359 ,  -113.349049518 ,  -76.4585319615 ,  -56.5827226866 ,  -40.5339574521 ,
HF/6-311++G(3df_2pd),  -1.13302607141 ,  -108.984863694 ,  -112.781261302 ,  -76.0591555902 ,  -56.2195657545 ,  -40.2129339631 ,
B3LYP/6-311++G(3df_2pd),  -1.18001345877 ,  -109.567371358 ,  -113.356792098 ,  -76.4641998839 ,  -56.5875654657 ,  -40.5375516668 ,
G3,               -1.151646 ,             -109.268729 ,             -113.039000 ,              -76.207892 ,              -56.372097 ,              -40.355940 ,
EE+ZPE,H2,N2,CO,H2O,NH3,CH4
HF/STO-3G,             -1.105019,           -107.494572,           -111.219839,            -74.941515,            -55.415287,            -39.672824,
B3LYP/STO-3G,             -1.153905,           -108.050949,           -111.767873,            -75.301207,            -55.755093,            -39.988843,
HF/4-31G,             -1.116248,           -108.748125,           -112.547101,            -75.886286,            -56.070375,            -40.091845,
B3LYP/4-31G,             -1.165341,           -109.350192,           -113.137747,            -76.287526,            -56.438024,            -40.423981,
