H2-R=1.4a0,LSDA,BLYP,B3LYP,CAM-B3LYP,PBE1PBE,HSEH1PBE,APFD,wB97XD
STO-3G,-1.15699428355,-1.15490834143,-1.1654009276,-1.15614430415,-1.15430944714,-1.15459381499,-1.15879598246,-1.16297365816
4-31G,-1.16821966913,-1.16522135194,-1.17547985619,-1.16676524187,-1.16388045406,-1.16413518491,-1.16826698511,-1.1719297459
6-31G,-1.16821966913,-1.16522135194,-1.17547985619,-1.16676524187,-1.16388045406,-1.16413518491,-1.16826698511,-1.1719297459
6-31G(d),-1.16821966913,-1.16522135194,-1.17547985619,-1.16676524187,-1.16388045406,-1.16413518491,-1.16826698511,-1.1719297459
6-31G(d_p),-1.17092785176,-1.16788486803,-1.17853677692,-1.17004574802,-1.16704020248,-1.16727263393,-1.17134157924,-1.17507368848
6-31++G(d_p),-1.17134361495,-1.16857474436,-1.1789680671,-1.17052719346,-1.16731697281,-1.16753816523,-1.17160195219,-1.17530077296
6-311++G(d_p),-1.17198728195,-1.16913589132,-1.17956426265,-1.17112027835,-1.1681369081,-1.16828654807,-1.1724178591,-1.17607840352
6-311++G(3df_2pd),-1.1723705846,-1.16958090396,-1.18001099063,-1.17157882083,-1.16847291753,-1.16867695396,-1.17277240128,-1.17662358134
aug-cc-pVDZ,-1.16738027082,-1.16245520152,-1.17375616454,-1.16541045167,-1.16361227615,-1.16366150574,-1.16785535355,-1.17162830375
aug-cc-pVTZ,-1.1723856586,-1.16958546537,-1.18002116082,-1.17159462744,-1.16848350259,-1.16868358058,-1.17278264146,-1.17666439399
aug-cc-pVQZ,-1.17283879968,-1.17013875074,-1.18054082016,-1.17210443053,-1.16890934565,-1.16914482397,-1.17322437114,-1.17714124374
best,-1.174475714
N2-R=1.4a0,LSDA,BLYP,B3LYP,CAM-B3LYP,PBE1PBE,HSEH1PBE,APFD,wB97XD
STO-3G,-107.421364231,-108.005966845,-108.034560755,-107.983530961,-107.936182531,-107.944732885,-107.965464337,-108.020375109
4-31G,-108.746407673,-109.344352406,-109.354573603,-109.307270976,-109.227675292,-109.237972513,-109.260171837,-109.314538732
6-31G,-108.859863394,-109.459499315,-109.469438421,-109.422180267,-109.343373519,-109.353288659,-109.375630694,-109.429009048
6-31G(d),-108.914420874,-109.509094881,-109.523763305,-109.479028197,-109.400074191,-109.409932101,-109.431584717,-109.484887217
6-31G(d_p),-108.914420874,-109.509094881,-109.523763305,-109.479028197,-109.400074191,-109.409932101,-109.431584717,-109.484887217
6-31++G(d_p),-108.920402912,-109.516195756,-109.529439029,-109.484950926,-109.404709744,-109.41455784,-109.436161071,-109.489227606
6-311++G(d_p),-108.951641172,-109.548365467,-109.559689014,-109.515462418,-109.432310159,-109.442531622,-109.46420707,-109.517886684
6-311++G(3df_2pd),-108.959365294,-109.555514724,-109.567343332,-109.523455336,-109.439954511,-109.450149796,-109.471837195,-109.525897839
aug-cc-pVDZ,-108.930203521,-109.528831206,-109.542532799,-109.498194917,-109.418347021,-109.42794482,-109.449781784,-109.502557411
aug-cc-pVTZ,-108.964143779,-109.558650307,-109.570557043,-109.526576161,-109.443214043,-109.453554706,-109.475178642,-109.52954058
aug-cc-pVQZ,-108.971252315,-109.566458436,-109.57797538,-109.534018818,-109.450561865,-109.460797569,-109.482580441,-109.537148023
best,-109.5427
