H,HF,CID,CISD
STO-3G,-0.466581850384,-0.46658185038,-0.46658185038
4-31G,-0.498232909202,-0.4982329092,-0.4982329092
6-31G,-0.498232909202,-0.4982329092,-0.4982329092
6-31G(d),-0.498232909202,-0.4982329092,-0.4982329092
6-31G(d_p),-0.498232909202,-0.4982329092,-0.4982329092
6-31++G(d_p),-0.498801102423,-0.49880110242,-0.49880110242
6-311++G(d_p),-0.49981791563,-0.49981791563,-0.49981791563
6-311++G(3df_2pd),-0.49981791563,-0.49981791563,-0.49981791563
aug-cc-pVDZ,-0.49933431544,-0.49933431544,-0.49933431544
aug-cc-pVTZ,-0.499821176024,-0.49982117602,-0.49982117602
aug-cc-pVQZ,-0.499948321469,-0.49994832147,-0.49994832147
aug-cc-pV5Z,-0.499994784584,-0.49999478458,-0.49999478458
aug-cc-pV6Z,-0.499999276397,-0.4999992764,-0.4999992764
,exact,-0.500000000000,,
H2+,HF,CID,CISD
STO-3G,-0.582695369113,-0.58269536911,-0.58269536911
4-31G,-0.584036393009,-0.58403639301,-0.58403639301
6-31G,-0.584036393009,-0.58403639301,-0.58403639301
6-31G(d),-0.584036393009,-0.58403639301,-0.58403639301
6-31G(d_p),-0.594355331137,-0.59435533114,-0.59435533114
6-31++G(d_p),-0.595375641334,-0.59537564133,-0.59537564133
6-311++G(d_p),-0.601166143775,-0.60116614378,-0.60116614378
6-311++G(3df_2pd),-0.602256703885,-0.60225670389,-0.60225670389
aug-cc-pVDZ,-0.601247738183,-0.60124773818,-0.60124773818
aug-cc-pVTZ,-0.602301707674,-0.60230170767,-0.60230170767
aug-cc-pVQZ,-0.602535331736,-0.60253533174,-0.60253533174
aug-cc-pV5Z,-0.602622271477,-0.60262227148,-0.60262227148
aug-cc-pV6Z,-0.602632509381,-0.60263250938,-0.60263250938
exact,-0.602634619,,
H2,HF,CID,CISD
STO-3G,-1.11671432518,-1.137275945,-1.137275945
4-31G,-1.1267427007,-1.1516099602,-1.1516790828
6-31G,-1.1267427007,-1.1516099602,-1.1516790828
6-31G(d),-1.1267427007,-1.1516099602,-1.1516790828
6-31G(d_p),-1.1312843467,-1.1649516494,-1.1651534337
6-31++G(d_p),-1.1313587507,-1.1650816149,-1.1652803779
6-311++G(d_p),-1.13248630291,-1.1681991852,-1.1683715231
6-311++G(3df_2pd),-1.13299553719,-1.172212927,-1.1723468142
aug-cc-pVDZ,-1.12878775317,-1.1644998458,-1.1646077916
aug-cc-pVTZ,-1.13302684721,-1.1725091201,-1.172632582
aug-cc-pVQZ,-1.13347302124,-1.1737367611,-1.1738665941
aug-cc-pV5Z,-1.13361065491,-1.174118836,-1.1742518424
aug-cc-pV6Z,-1.13362652598,-1.1742255304,-1.1743596853
HF limit,-1.133629573,best,-1.174475714
N2,HF,CID,CISD
STO-3G,-107.494925302,-107.63821458,-107.63842897
4-31G,-108.753910167,-108.9629295,-108.96537901
6-31G,-108.867914942,-109.07524346,-109.07757084
6-31G(d),-108.943064457,-109.23088514,-109.2336046
6-31G(d_p),-108.943064457,-109.23088514,-109.2336046
6-31++G(d_p),-108.946126244,-109.23618219,-109.23903365
6-311++G(d_p),-108.972191058,-109.27380171,-109.27727469
6-311++G(3df_2pd),-108.982309256,-109.32532833,-109.32855105
aug-cc-pVDZ,-108.961044958,-109.25499767,-109.25756479
aug-cc-pVTZ,-108.985317263,-109.33203424,-109.33515598
aug-cc-pVQZ,-108.992205119,-109.356204,-109.35937321
aug-cc-pV5Z,-108.99360786,-109.36369185,-109.36688138
aug-cc-pV6Z,-108.993786564,-109.36630046,-109.36949511
HF limit,-108.993825700,best,-109.542700
