HF,STO-3G,-0.582696648302 ,            -0.576444
HF,4-31G,-0.584082314140 ,            -0.579185
HF,6-31G,-0.584082314140 ,            -0.579185
HF,6-31G(d),-0.584082314140 ,            -0.579185
HF,6-31G(d_p),-0.594498833796 ,            -0.588984
HF,6-31++G(d_p),-0.595511189513 ,            -0.589972
HF,6-311++G(d_p),-0.601180381852 ,            -0.595701
HF,6-311++G(3df_2pd),-0.602256742039 ,            -0.596953
HF,aug-cc-pVDZ,-0.601248137907 ,            -0.595808
HF,aug-cc-pVTZ,-0.602301716324 ,            -0.597013
HF,aug-cc-pVQZ,-0.602535602295 ,            -0.597246
HF,STO-3G,2170.0296,4139.9927,4391.0714
HF,4-31G,1743.0575,3957.6912,4109.3746
HF,6-31G,1737.2447,3988.0041,4144.8467
HF,6-31G(d),1826.5634,4070.4414,4188.6820
HF,6-31G(d_p),1769.6745,4147.4374,4264.4387
HF,6-31++G(d_p),1728.3493,4147.4589,4269.7235
HF,6-311++G(d_p),1726.1178,4142.9240,4244.9423
HF,6-311++G(3df_2pd),1746.6003,4149.4832,4249.1918
HF,aug-cc-pVDZ,1744.3636,4130.0604,4237.4337
HF,aug-cc-pVTZ,1745.2376,4120.0259,4222.3001
HF,aug-cc-pVQZ,1747.7209,4128.1411,4228.6124
