

H2+
energy[Hartree]
basis,HF,B3LYP,CCSD
STO-3G,-0.582696643879,-0.596074132536,-0.58269536911
4-31G,-0.584082314768,-0.598150847547,-0.58403639301
6-31G,-0.584082314768,-0.598150847547,-0.58403639301
6-31G(d),-0.584082314768,-0.598150847547,-0.58403639301
6-31G(d\p),-0.594498833820,-0.605115544070,-0.59449883382

H2+
distance[ang]
basis,HF,B3LYP,CCSD
STO-3G,1.0605,1.1363,1.0584estimateD2E/DX2!
4-31G,1.041,1.1144,1.0584estimateD2E/DX2!
6-31G,1.041,1.1144,1.0584estimateD2E/DX2!
6-31G(d),1.041,1.1144,1.0584estimateD2E/DX2!
6-31G(dp),1.0309,1.0931,1.0309

H2
energy[Hartree]
basis,HF,B3LYP,CCSD
STO-3G,-1.11750588510,-1.16553553675,
4-31G,-1.12682779723,-1.17548240735,-1.1516977970
6-31G,-1.12682779723,-1.17548240735,-1.1516977970
6-31G(d),-1.12682779723,-1.17548240735,-1.1516977970
6-31G(d\p),-1.13133356259,-1.17853935638,-1.1651573815

H2
distance[ang]
basis,HF,B3LYP,CCSD
STO-3G,0.7122,0.7284,0.7408estimateD2E/DX2!
4-31G,0.7298,0.7427,0.7459
6-31G,0.7298,0.7427,0.7459
6-31G(d),0.7298,0.7427,0.7459
6-31G(dp),0.7324,0.7428,0.7385

N2
energy[Hartree]
basis,HF,B3LYP,CCSD
STO-3G,-107.500654310,-108.056035248,-107.67144362
4-31G,-108.754219477,-109.355579412,-108.98281998
6-31G,-108.868004940,-109.471040370,-109.09601264
6-31G(d),-108.943949471,-109.524128676,-109.25579376
6-31G(d\p),-108.943949471,-109.524128676,-109.25579376

N2
distance[ang]
basis,HF,B3LYP,CCSD
STO-3G,1.1338,1.1807,1.1891
4-31G,1.0846,1.1134,1.1227
6-31G,1.0891,1.1184,1.1281
6-31G(d),1.0784,1.1055,1.1135
6-31G(dp),1.0784,1.1055,1.1135

CO
energy[Hartree]
basis,HF,B3LYP,CCSD
STO-3G,-111.225449517,-111.772694579,-111.36236299
4-31G,-112.552355638,-113.142500882,-112.76268897
6-31G,-112.667221924,-113.259177054,-112.87666087
6-31G(d),-112.737876953,-113.309453137,-113.02715088
6-31G(d\p),-112.737876953,-113.309453137,-113.02715088

CO
distance[ang]
basis,HF,B3LYP,CCSD
STO-3G,1.1455,1.1878,1.1822
4-31G,1.1277,1.1527,1.1594
6-31G,1.1307,1.1564,1.1634
6-31G(d),1.1138,1.138,1.1421
6-31G(dp),1.1138,1.138,1.1421

CH4
energy[Hartree]
basis,HF,B3LYP,CCSD
STO-3G,-39.7268636774,-40.0389195648,-39.806342940
4-31G,-40.1397667596,-40.4694776900,-40.258161424
6-31G,-40.1805541716,-40.5106424996,-40.298436329
6-31G(d),-40.1951719196,-40.5183831835,-40.353055432
6-31G(d\p),-40.2017047902,-40.5240140363,-40.385948451

CH4
distance[ang]
basis,HF,B3LYP,CCSD
STO-3G,1.083,1.0968,1.1079
4-31G,1.0811,1.0917,1.0978
6-31G,1.0821,1.0933,1.1
6-31G(d),1.0837,1.0935,1.0943
6-31G(dp),1.0835,1.092,1.0881

NH3
energy[Hartree]
basis,HF,B3LYP,CCSD
STO-3G,-55.4554197734,-55.7914795173,-55.527807327
4-31G,-56.1066917512,-56.4719937165,-56.233751404
6-31G,-56.1655212505,-56.5318871935,-56.292225807
6-31G(d),-56.1843563183,-56.5479477974,-56.369549132
6-31G(d\p),-56.1955445981,-56.5577687304,-56.398546623

NH3
distance[ang]
basis,HF,B3LYP,CCSD
STO-3G,1.0324,1.0624,1.07
4-31G,0.9912,1.0057,1.0133
6-31G,0.9913,1.0059,1.0138
6-31G(d),1.0026,1.0194,1.02
6-31G(dp),1.0007,1.018,1.014

H2O
energy[Hartree]
basis,HF,B3LYP,CCSD
STO-3G,-74.9659011708,-75.3227751662,-75.023072083
4-31G,-75.9086358437,-76.3079369164,-76.043795278
6-31G,-75.9853591690,-76.3861166701,-76.119864666
6-31G(d),-76.0107464887,-76.4089539626,-76.205923634
6-31G(d\p),-76.0236149301,-76.4197373997,-76.228769143

H2O
distance[ang]
basis,HF,B3LYP,CCSD
STO-3G,0.9893,1.0272,1.0283
4-31G,0.9505,0.9769,0.9765
6-31G,0.9496,0.9759,0.9758
6-31G(d),0.9474,0.9686,0.9696
6-31G(dp),0.9432,0.9652,0.9608

FH
energy[Hartree]
basis,HF,B3LYP,CCSD
STO-3G,-98.5728474190,-98.9262437619,-98.603281938
4-31G,-99.8872870216,-100.305537789,-100.01932061
6-31G,-99.9834255046,-100.403535907,-100.11470849
6-31G(d),-100.002906987,-100.420171654,-100.18660112
6-31G(d\p),-100.011690844,-100.427461531,-100.19900872

FH
distance[ang]
basis,HF,B3LYP,CCSD
STO-3G,0.9555,0.9953,0.9945
4-31G,0.9222,0.9507,0.9487
6-31G,0.9209,0.9495,0.9478
6-31G(d),0.911,0.9338,0.9343
6-31G(dp),0.9005,0.9254,0.9204
